predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
p,d79fcf39ef0828bb234b60b90a1fd725,2,-1,25,1,4,0,0,0,-1,1,1,3,-5,20,"lynda? im so sorry  i woke up late and then i went to eat something ok heres the thing...if i leave by 2...i can only stay like 1-2 hours next weekend i could stay 4-5 hours lol i just want to make the most of the few times i come to see you per month okay but do realize that in 2 weekends he may work and i could stay longer than too but if i come today i may not be able to in 2 weekends well maybe i still can lol and why is that lol dont call the cops lol me too but you are fine with 2 hours? alright let me see what i can do call me in 2 hours crap i wont even have time to shower eww bunch of cologne lol ok call me in 2 hours and what about your dad what if i am in your house and he comes ok call me in 2 hours ok null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u here? null"
p,1290ea419856093edf96b1263cb1ca1e,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"r u back? null"
p,6f35a1f69fd4ae82056e4bc6a8a84575,1,-1,4,0,2,0,0,0,-1,0,0,3,-2,2,"my valentines day song to u! thinking of u alot today!  ill be on all night tommroww and satyrday night maybe u can call me and we can talk on the phone this weekeend! hopefully ! it would be nice! null"
p,f91e272c9481c92c08505fffbe726053,0,-1,3,0,0,0,0,0,-1,0,0,0,0,0,"whats up how have you bee? been? null"
p,e4c7c376bbd07aeb4a59684a2b94a664,0,-1,5,0,1,0,0,0,-1,0,0,0,-3,0,"i miss you baby how are you? sorry i havent been on much > null"
p,fac3a2081264f1dbb943eaf7165d8fc3,2,-1,2,0,0,0,0,0,-1,1,1,0,0,9,"hey sexy little lady hope u had a good night sleep any wild dreams just wondering wont be back until 11pm if your up if not i will just have to wait until tomorrow  null"
p,0b6b05c740a1bf50ca7f9a461598a3b9,1,-1,14,1,0,0,0,0,-1,0,0,3,-2,4,"yeah im here im chargin my cell and getting dressed how am i late? i asked you lastnite 4 30 was ok member? well i did lol ok ill call you in a few hey wait heres my cell call me when you get out of the shower 9899151974 ok ima go cash me check and head that way right now pk ok null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u awake null"
p,2e265f9b8ee76269872d56d5c6c0335b,0,-1,2,1,0,0,0,0,-1,1,1,0,-4,0,"damn u signed out this same min null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,29,1,4,0,0,0,-1,2,2,1,-3,17,"i am back u want your suprise k got to get a pen and paper got to write some numbers down i got a calling card for u to use to call me unless u dont want too i know u r worth the .99 cents i spent on it just kidding ready u do have a touch tone phone lol when u use the phone u have do u push button lol k first 1-800-986-5171 going to ask for this number 704 7470 065 then will ask for the phone number 512-785-3204 u r not mad i hope well if nothing else i will at least get to maybe here your sexy voice k but the million dollar question is will u use it it ok k thank u ;;) i will be here null"
p,850f47f5c88b660f1b096785ddc197a1,1,-1,13,0,2,0,0,0,-1,1,1,0,-12,4,"hey what happened to you? i'm here lol no i'm at home yeah  i didn't see you on line all week  so i got worried awwww i missed you  babe i was afraid to leave without checking in with you one last time hey! don't worry i will get down there can you call me? null"
p,aebe7a87ad50fbad92d9931c49cae848,1,-1,3,0,0,0,0,0,-1,0,0,1,0,0,"iguess you had enough of me for the night sleep well null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,3,0,0,0,0,0,-1,0,0,1,0,1,"whatcha doing now cool null"
p,d18fb2dc834414a71aace67bee91c432,1,-1,3,0,8,0,0,1,-1,0,0,0,0,2,"hey there. i should be home at like around 945 tonight. don't goto bed without talking to me lol. i have school tonight :(. or if you have aim u can message me there. i'm always on it during class. my screen name is jkspeedster1982. null"
p,1eb17bd9642e93fa84969b71bf387a1b,1,-1,22,0,0,0,0,0,-1,3,3,3,-10,7,"yep i will lick it first that will make you really want it thats fun to yep its called forplay let me ask u something is your pussy getting wet thinking of that cool i can pick u up somewhere we can do it in my truck sometime chevy u ever hear of giving head when u suck on a guys cock oh its ok told ya ill teach ya and you will be ready well i need go to bed when do u want me to come meet ya im off thgis weekend k when k edit k bye hunny null"
p,d090448efc59f5f5b3b5c2875d070a3a,1,-1,41,1,20,2,0,0,-1,0,2,4,-4,27,"oh. good. when is ur b'day? date? good why? hahaha it is good for some. for chinees it is very bad then u will be 14 in this year? oh. good mar12th yes. but u did not wish me:) as u did not know me at that time hahaha. thank u for belated wishes yes u want to become big soon? like to do job when did u mature? not that one. i am asking about ur physical thing i do not know how to ask did u get it? =)) ok tell me when? how to ask:-?. when u have matured? means u will get blood from vagina.... what do u say it? menses will be starting from then ohhhh. yes when u got first period?  r u there? ok. good. it is nice no ok. fine carry on. bye confirm me tomorrow :x :-* gn =; bye null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,2,0,1,0,0,0,-1,0,0,0,0,3,"have a nice day;;) null"
p,fac3a2081264f1dbb943eaf7165d8fc3,2,-1,4,1,3,1,0,0,-1,1,1,0,0,18,"such sexy photos u have love then all hope u had a good evening good moring it is 4:35am yes i am up that early love your last 2 photo u had up. also wanted to say the i think your a 30/32a-22-28 for your measurements null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,2,0,0,1,-1,0,0,0,-2,4,"lol i did answer you :(.i said yes i do miss you :( dork null"
p,a03edc2f70bbebc73ef3ba3f06968360,2,-1,13,0,1,0,0,0,-1,0,0,4,-5,7,"hey sorry had phone problems what yoou doing cool and get what nice i missed you too baby i cant wait to see you yuppers am flyin tomorrow moring 7am was suppose to but the my flight got canseled :-* its ok i still love you null"
p,ca2ac2fc60098c8f3346aed97ccacbec,2,-1,47,0,5,1,0,1,-1,1,1,2,-4,26,"yes you are :) i feet are sore kinda tired today :( yeah because of all the running yeah :) haha you do oh you are tough girl yup a big girl lol a mature girl? yeah yes i do :) good whats for dinner i see and tomorrow and day after what will you ear eat i see dont know yet  i probably will go out why? :) you wanna come too? haha not a tease no i was laughing with ya yup havent decided yet it depends what i feel like italian or mexican yeah indian? yeah? you ear phillipino food at home? oh ok yeah is fillipino food spicy? i see yeah null"
p,afe8ba8af6d0677a79ce0284cb9cc63a,0,-1,2,0,1,0,0,0,-1,0,0,0,0,0,":-* null"
p,2a77f862a19d8d47d21692543e90dee8,4,-1,2,0,0,0,0,0,-1,0,0,0,-4,7,"hi hun i hope your feeling better and that everything is ok ill keep checking through out the day to see if your on if i dont hear from you and i think you will really like your necklace miss you null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,2,0,0,0,0,0,-1,0,0,0,-2,10,"sorry about that big lighting strike knocked out the power just now got me internet back up well hope you have a wondering day hope to talk to you latter on this evening hope you had some sweet dreams  null"
p,c62283536cf6261e5ffbcb323c8a2571,1,-1,5,0,1,0,0,0,-1,0,0,1,0,0,"just wanted to let you know i'm canceling my internet tuesday guess your not coming on bye =(( null"
p,3e97c68b68f9aa0fb7d705a65c6a8443,0,-1,2,1,0,0,0,0,-1,0,0,1,0,0,"hello how was your sking null"
p,e4c7c376bbd07aeb4a59684a2b94a664,1,-1,4,0,1,0,0,0,-1,0,0,0,-1,0,"sorry i had to go so soon ttyl :-* null"
p,8cd850ea4215ee7c4b94b6bcc0bae593,1,-1,21,0,1,0,0,0,-1,0,0,2,-3,3,"somewhere close to you ok talk i guess whatever  just get to know each other and see where it goes maybe u wont like me at all u just never know till u meet 4 real dont know  maybe by now you have another bf maybe u want someone closer to your age older than your mom really? u ever do stuff with an older guy b 4? ya  but not in his 40's ok  call me when u can ok no  not at all hey  i gtg  i got a call will u be on tomorrow? a friend that is stuck i will look for you tomorrow bye lissa null"
